PooledFundId,PooledFundName,ChfId,ChfProjectCode,ExternalProjectCode,AllocationType,AllocationYear,AllocationSourceID,AllocationSourceName,OrganizationName,OrganizationType,ProjectTitle,ProjectDuration,Budget,EnvironmentMarker,GenderMarker,ActualStartDate,ActualEndDate,ProjectStatus,ProjectStatusId,ProjectStatusCode,ProcessStatus,ProcessStatusId,PartnerCode,AdminLocation1TypeName,AdminLocation1,AdminLocation1Latitude,AdminLocation1Longitude,AdminLevel1PCode,AdminLevel1Percentage
81,Ukraine,13737,UKR-19/UKR_CBPF/SA1/H-N-WASH/NGO/13737,,UHF 1st Standard Allocation,2019,2,Standard,ICF Caritas Ukraine,National NGO,Provision of multi-sectoral market-based and community based assistance to the most vulnerable elderly people living along contact line to ensure their overcoming the effects of protracted crises in Ukraine,11 Months,222890.5,,"4- Likely to contribute to gender equality, including across age groups",10/1/2019 12:00:00 AM,8/31/2020 12:00:00 AM,Under Refund,4223,PRJ_UND_REF,Project Closure,16,922182.4080,Oblast,Luhanska,48.98548500,39.01766300,UKR44,25.00000
81,Ukraine,13752,UKR-19/UKR_CBPF/SA1/P-WASH/NGO/13752,,UHF 1st Standard Allocation,2019,2,Standard,Proliska,National NGO,Assistance to elderly people living alone and people with disabilities living close to the contact line in Government Controlled Areas of Donetska and Luhanska oblasts,14 Months,213000,,"4- Likely to contribute to gender equality, including across age groups",11/1/2019 12:00:00 AM,12/31/2020 12:00:00 AM,Under Refund,4223,PRJ_UND_REF,Project Closure,16,925088.4450,Oblast,Donetska,48.04760900,37.67396200,UKR14,57.30000
81,Ukraine,13752,UKR-19/UKR_CBPF/SA1/P-WASH/NGO/13752,,UHF 1st Standard Allocation,2019,2,Standard,Proliska,National NGO,Assistance to elderly people living alone and people with disabilities living close to the contact line in Government Controlled Areas of Donetska and Luhanska oblasts,14 Months,213000,,"4- Likely to contribute to gender equality, including across age groups",11/1/2019 12:00:00 AM,12/31/2020 12:00:00 AM,Under Refund,4223,PRJ_UND_REF,Project Closure,16,925088.4450,Oblast,Luhanska,48.98548500,39.01766300,UKR44,29.20000
81,Ukraine,13773,UKR-19/UKR_CBPF/SA1/WASH-P/INGO/13773,,UHF 1st Standard Allocation,2019,2,Standard,Save the Children Fund,International NGO,Providing lifesaving assistance for the most vulnerable families in Donetsk NGCA,7 Months,200140,,"4- Likely to contribute to gender equality, including across age groups",3/1/2020 12:00:00 AM,9/30/2020 12:00:00 AM,Under Closure,4170,PRJ_UND_CLSR,Project Closure,16,1409912.2845,Oblast,Donetska,48.04760900,37.67396200,UKR14,62.90000
81,Ukraine,13777,UKR-19/UKR_CBPF/SA1/S-NFI/NGO/13777,,UHF 1st Standard Allocation,2019,2,Standard,International Children’s Fund ‘Mira’,National NGO,"Provision of medium repair to 145 households (private households and households at multi-storey buildings) in Donetsk NGCA, provision of 30 sets of critical livelihoods",6 Months,140902.16,,"4- Likely to contribute to gender equality, including across age groups",12/23/2019 12:00:00 AM,6/22/2020 12:00:00 AM,Project Closed,4221,PRJ_PRJ_CLS,Project Closure,16,923151.0870,Oblast,Donetska,48.04760900,37.67396200,UKR14,85.00000
81,Ukraine,14396,UKR-19/UKR_CBPF/SA1/H-N/INGO/14396,,UHF 1st Standard Allocation,2019,2,Standard,Medicos del Mundo,International NGO,"Improving access to essential healthcare and social services for elders, people with disabilities, homeless and people suffering from mental disorders through the provision of medical equipment and non-medical commodities in Luhansk NGCA.",12 Months,419499.99,,2- Unlikely to contribute to gender equality (no gender equality measure but includes age consideration),2/24/2020 12:00:00 AM,2/23/2021 12:00:00 AM,Under Closure,4170,PRJ_UND_CLSR,Project Closure,16,918792.0315,Oblast,Luhanska,48.98548500,39.01766300,UKR44,90.00000
81,Ukraine,15730,UKR-20/UKR_CBPF/RA1/COVID-19/INGO/15730,,UHF COVID-19 Allocation for Eastern Ukraine,2020,1,Reserve,Medicos del Mundo,International NGO,Reducing the transmission of COVID-19 by supporting health authorities to implement and carry out contact tracing of probable cases as well as their contacts,"6 Months, 12 Days",200000,,1- Unlikely to contribute to gender equality (no gender equality measure and no age consideration),4/20/2020 12:00:00 AM,10/31/2020 12:00:00 AM,Under Closure,4200,PRJ_UND_CLSR,Project Closure,8,918792.0315,Oblast,Donetska,48.04760900,37.67396200,UKR14,12.50000
81,Ukraine,15730,UKR-20/UKR_CBPF/RA1/COVID-19/INGO/15730,,UHF COVID-19 Allocation for Eastern Ukraine,2020,1,Reserve,Medicos del Mundo,International NGO,Reducing the transmission of COVID-19 by supporting health authorities to implement and carry out contact tracing of probable cases as well as their contacts,"6 Months, 12 Days",200000,,1- Unlikely to contribute to gender equality (no gender equality measure and no age consideration),4/20/2020 12:00:00 AM,10/31/2020 12:00:00 AM,Under Closure,4200,PRJ_UND_CLSR,Project Closure,8,918792.0315,Oblast,Luhanska,48.98548500,39.01766300,UKR44,37.50000
81,Ukraine,15731,UKR-20/UKR_CBPF/RA1/COVID-19/INGO/15731,,UHF COVID-19 Allocation for Eastern Ukraine,2020,1,Reserve,HelpAge International UK,International NGO,Strengthening COVID-19 emergency response for conflict affected vulnerable and disabled older women and men in settlements located in the 5km zone in the GCAs locations of Donetsk and Luhansk Oblasts.,4 Months,300049.67,,"4- Likely to contribute to gender equality, including across age groups",4/20/2020 12:00:00 AM,8/19/2020 12:00:00 AM,Under Closure,4200,PRJ_UND_CLSR,Project Closure,8,1204067.9970,Oblast,Donetska,48.04760900,37.67396200,UKR14,89.73000
81,Ukraine,15731,UKR-20/UKR_CBPF/RA1/COVID-19/INGO/15731,,UHF COVID-19 Allocation for Eastern Ukraine,2020,1,Reserve,HelpAge International UK,International NGO,Strengthening COVID-19 emergency response for conflict affected vulnerable and disabled older women and men in settlements located in the 5km zone in the GCAs locations of Donetsk and Luhansk Oblasts.,4 Months,300049.67,,"4- Likely to contribute to gender equality, including across age groups",4/20/2020 12:00:00 AM,8/19/2020 12:00:00 AM,Under Closure,4200,PRJ_UND_CLSR,Project Closure,8,1204067.9970,Oblast,Luhanska,48.98548500,39.01766300,UKR44,9.92000
81,Ukraine,15732,UKR-20/UKR_CBPF/RA1/COVID-19/INGO/15732,,UHF COVID-19 Allocation for Eastern Ukraine,2020,1,Reserve,Première Urgence Internationale,International NGO,Support to health system contact tracing as COVID-19 response Donetsk Oblast,5 Months,188500.62,,2- Unlikely to contribute to gender equality (no gender equality measure but includes age consideration),5/1/2020 12:00:00 AM,9/30/2020 12:00:00 AM,Under Audit,4222,PRJ_UND_AUD,Project Closure,8,1373102.4825,Oblast,Donetska,48.04760900,37.67396200,UKR14,23.33000
81,Ukraine,15733,UKR-20/UKR_CBPF/RA1/COVID-19/NGO/15733,,UHF COVID-19 Allocation for Eastern Ukraine,2020,1,Reserve,Proliska,National NGO,Enhancement of home-delivered assistance in isolated settlements along the  contact line due to COVID-19,"3 Months, 20 Days",504681.55,,2- Unlikely to contribute to gender equality (no gender equality measure but includes age consideration),5/1/2020 12:00:00 AM,8/20/2020 12:00:00 AM,Under Audit,4222,PRJ_UND_AUD,Project Closure,8,925088.4450,Oblast,Donetska,48.04760900,37.67396200,UKR14,20.06000
