PooledFundName,PooledFundId,AllocationTypeId,ChfId,ChfProjectCode,ExternalProjectCode,AllocationType,AllocationYear,AllocationSourceID,AllocationSourceName,OrganizationName,OrganizationType,ProjectTitle,ProjectStartDate,ProjectEndDate,ProjectDuration,Budget,TotalDirectCost,TotalSupportCost,DateSubmitted,Men,Women,Boys,Girls,ProjectSummary,IndirectBeneficiaries,CatchmentPopulation,AllocationStrategy,HumanitarianContext,GrantRequestJustification,DescriptionOfBeneficiaries,NeedsAssessment,Activities,ImplementationPlan,Monitoring_Eval,CrossCuttingIssues,EnvironmentMarker,GenderMarker,GenderTheme,FieldSecurity,Access,ActualStartDate,ActualEndDate,ProjectStatus,ProjectStatusId,ProjectStatusCode,ProcessStatus,ProcessStatusId,PartnerCode,AllocationTypeCategoryId,AllocationTypeCategory,ApprovedDate
Ukraine,81,217,13777,UKR-19/UKR_CBPF/SA1/S-NFI/NGO/13777,,UHF 1st Standard Allocation,2019,2,Standard,International Children’s Fund ‘Mira’,National NGO,"Provision of medium repair to 145 households (private households and households at multi-storey buildings) in Donetsk NGCA, provision of 30 sets of critical livelihoods",12/1/2020 12:00:00 AM,5/31/2021 12:00:00 AM,6 Months,140902.16,104412.62,32838.66,8/9/2019 5:13:33 PM,190,331,0,0,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,12/23/2019 12:00:00 AM,6/22/2020 12:00:00 AM,Project Closed,4221,PRJ_PRJ_CLS,Project Closure,16,923151.0870,0,,12/27/2019 1:28:37 PM
Ukraine,81,217,14396,UKR-19/UKR_CBPF/SA1/H-N/INGO/14396,,UHF 1st Standard Allocation,2019,2,Standard,Medicos del Mundo,International NGO,"Improving access to essential healthcare and social services for elders, people with disabilities, homeless and people suffering from mental disorders through the provision of medical equipment and non-medical commodities in Luhansk NGCA.",12/22/2019 12:00:00 AM,12/21/2020 12:00:00 AM,12 Months,419499.99,331553.79,60502.28,12/23/2019 8:39:47 AM,650,1100,203,243,,,,,,,,,,,,,,2- Unlikely to contribute to gender equality (no gender equality measure but includes age consideration),,,,2/24/2020 12:00:00 AM,2/23/2021 12:00:00 AM,Under Closure,4170,PRJ_UND_CLSR,Project Closure,16,918792.0315,3,N/A,2/17/2020 6:57:22 PM
Ukraine,81,248,15730,UKR-20/UKR_CBPF/RA1/COVID-19/INGO/15730,,UHF COVID-19 Allocation for Eastern Ukraine,2020,1,Reserve,Medicos del Mundo,International NGO,Reducing the transmission of COVID-19 by supporting health authorities to implement and carry out contact tracing of probable cases as well as their contacts,4/20/2020 12:00:00 AM,7/19/2020 12:00:00 AM,"6 Months, 12 Days",200000,149673.87,37242.02,4/9/2020 2:39:24 PM,1038,1335,297,297,,,,,,,,,,,,,,1- Unlikely to contribute to gender equality (no gender equality measure and no age consideration),,,,4/20/2020 12:00:00 AM,10/31/2020 12:00:00 AM,Under Closure,4200,PRJ_UND_CLSR,Project Closure,8,918792.0315,5,COVID-19,4/24/2020 1:31:31 PM
Ukraine,81,248,15731,UKR-20/UKR_CBPF/RA1/COVID-19/INGO/15731,,UHF COVID-19 Allocation for Eastern Ukraine,2020,1,Reserve,HelpAge International UK,International NGO,Strengthening COVID-19 emergency response for conflict affected vulnerable and disabled older women and men in settlements located in the 5km zone in the GCAs locations of Donetsk and Luhansk Oblasts.,4/20/2020 12:00:00 AM,7/19/2020 12:00:00 AM,4 Months,300049.67,266425.09,13995.16,4/9/2020 4:14:45 PM,942,1627,0,0,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,4/20/2020 12:00:00 AM,8/19/2020 12:00:00 AM,Under Closure,4200,PRJ_UND_CLSR,Project Closure,8,1204067.9970,5,COVID-19,4/20/2020 5:07:53 PM
Ukraine,81,248,15732,UKR-20/UKR_CBPF/RA1/COVID-19/INGO/15732,,UHF COVID-19 Allocation for Eastern Ukraine,2020,1,Reserve,Première Urgence Internationale,International NGO,Support to health system contact tracing as COVID-19 response Donetsk Oblast,4/20/2020 12:00:00 AM,7/19/2020 12:00:00 AM,5 Months,188500.62,150614.61,25554.19,4/9/2020 2:50:23 PM,45,45,25,25,,,,,,,,,,,,,,2- Unlikely to contribute to gender equality (no gender equality measure but includes age consideration),,,,5/1/2020 12:00:00 AM,9/30/2020 12:00:00 AM,Under Audit,4222,PRJ_UND_AUD,Project Closure,8,1373102.4825,5,COVID-19,6/5/2020 1:12:57 PM
Ukraine,81,248,15733,UKR-20/UKR_CBPF/RA1/COVID-19/NGO/15733,,UHF COVID-19 Allocation for Eastern Ukraine,2020,1,Reserve,Proliska,National NGO,Enhancement of home-delivered assistance in isolated settlements along the  contact line due to COVID-19,5/1/2020 12:00:00 AM,7/31/2020 12:00:00 AM,"3 Months, 20 Days",504681.55,471665,0,4/9/2020 4:03:30 PM,1500,3000,0,0,,,,,,,,,,,,,,2- Unlikely to contribute to gender equality (no gender equality measure but includes age consideration),,,,5/1/2020 12:00:00 AM,8/20/2020 12:00:00 AM,Under Audit,4222,PRJ_UND_AUD,Project Closure,8,925088.4450,5,COVID-19,4/27/2020 5:34:56 PM
Ukraine,81,248,15734,UKR-20/UKR_CBPF/RA1/COVID-19/INGO/15734,,UHF COVID-19 Allocation for Eastern Ukraine,2020,1,Reserve,Polish Humanitarian Action,International NGO,Emergency home-based assistance to the most vulnerable households with elderly people residing in Donetska and Luhanska GCAs in response to the COVID-19 outbreak,4/21/2020 12:00:00 AM,7/20/2020 12:00:00 AM,3 Months,349165.88,315487.83,10835.42,4/9/2020 2:45:28 PM,706,1423,8,13,,,,,,,,,,,,,,2- Unlikely to contribute to gender equality (no gender equality measure but includes age consideration),,,,4/21/2020 12:00:00 AM,7/20/2020 12:00:00 AM,Under Closure,4200,PRJ_UND_CLSR,Project Closure,8,1400709.8340,5,COVID-19,4/22/2020 9:19:18 PM
Ukraine,81,248,15736,UKR-20/UKR_CBPF/RA1/COVID-19/NGO/15736,,UHF COVID-19 Allocation for Eastern Ukraine,2020,1,Reserve,ICF Caritas Ukraine,National NGO,"Addressing multi-sectoral relief measures to elder people in 0-5 km area along the contact line isolated due to COVID-19 pandemic in Ukraine, 2020",5/1/2020 12:00:00 AM,7/31/2020 12:00:00 AM,3 Months 1 Days,449741.28,417994.78,2324.17,4/9/2020 4:54:24 PM,1164,2068,0,0,,,,,,,,,,,,,,"3- Likely to contribute to gender equality, but without attention to age groups",,,,4/21/2020 12:00:00 AM,7/21/2020 12:00:00 AM,Under Refund,4224,PRJ_UND_REF,Project Closure,8,922182.4080,5,COVID-19,4/27/2020 5:33:48 PM
Ukraine,81,262,16120,UKR-20/UKR_CBPF/SA1/FSL-CSS-WASH/NGO/16120,,UHF COVID-19 Allocation for Non-Government Controlled Areas of Eastern Ukraine,2020,2,Standard,Charitable Organization Charitable Foundation “Development Center',National NGO,Reducing the risk of complicating the negative consequences of COVID-19 pandemic in Donetsk NGCA,6/1/2020 12:00:00 AM,5/31/2021 12:00:00 AM,12 Months,176662.57,166662.8,0,5/14/2020 3:25:31 PM,890,1313,384,388,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,7/27/2020 12:00:00 AM,7/26/2021 12:00:00 AM,Under Audit,4220,PRJ_UND_AUD,Project Closure,16,919760.7105,5,COVID-19,8/11/2020 2:23:16 PM
Ukraine,81,262,16125,UKR-20/UKR_CBPF/SA1/H-N/NGO/16125,,UHF COVID-19 Allocation for Non-Government Controlled Areas of Eastern Ukraine,2020,2,Standard,Fondation Humanitaire Internationale AICM Ukraine,National NGO,'Life saving' Medical Equipment for the Luhansk Hospitals specialized  in COVID-19.,6/1/2020 12:00:00 AM,9/30/2020 12:00:00 AM,3 Months 29 Days,201195.97,195335.89,0,5/17/2020 12:07:51 PM,100,100,10,10,,,,,,,,,,,,,,0- Does not systematically link programming actions,,,,6/11/2020 12:00:00 AM,10/9/2020 12:00:00 AM,Under Audit,4220,PRJ_UND_AUD,Project Closure,16,917823.3525,5,COVID-19,6/24/2020 12:23:50 PM
Ukraine,81,262,16131,UKR-20/UKR_CBPF/SA1/WASH-FSL/INGO/16131,,UHF COVID-19 Allocation for Non-Government Controlled Areas of Eastern Ukraine,2020,2,Standard,People in Need,International NGO,"Multi-sectoral humanitarian assistance for the most vulnerable elderly and people with disability living along the line of contact in Luhanks Oblast, NGCA",6/1/2020 12:00:00 AM,9/30/2020 12:00:00 AM,6 Months,376188.75,307176.02,44402.25,5/16/2020 10:54:00 AM,340,632,14,14,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,8/1/2020 12:00:00 AM,1/31/2021 12:00:00 AM,Under Closure,4170,PRJ_UND_CLSR,Project Closure,16,1314013.0635,0,,8/26/2020 4:05:46 PM
Ukraine,81,262,16133,UKR-20/UKR_CBPF/SA1/WASH-CSS-FSL/INGO/16133,,UHF COVID-19 Allocation for Non-Government Controlled Areas of Eastern Ukraine,2020,2,Standard,Save the Children Fund,International NGO,Providing lifesaving assistance for the most vulnerable families in Donetsk NGCA during COVID19 pandemic,5/22/2020 12:00:00 AM,9/30/2020 12:00:00 AM,4 Months 17 Days,216050,181824.85,20091.04,5/16/2020 3:22:47 PM,861,2008,710,834,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,10/1/2020 12:00:00 AM,2/17/2021 12:00:00 AM,Under Audit,4220,PRJ_UND_AUD,Project Closure,16,1409912.2845,5,COVID-19,10/5/2020 4:39:15 PM
Ukraine,81,262,16136,UKR-20/UKR_CBPF/SA1/CSS/INGO/16136,,UHF COVID-19 Allocation for Non-Government Controlled Areas of Eastern Ukraine,2020,2,Standard,Agency for Technical Cooperation and Development,International NGO,Humanitarian Situation Monitoring in Non-Government Controlled Areas (NGCA) of Donetsk and Luhansk,6/1/2020 12:00:00 AM,5/31/2021 12:00:00 AM,15 Months,150000,119944.8,20242.12,5/14/2020 2:56:28 PM,2570,3405,0,0,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,6/22/2020 12:00:00 AM,9/21/2021 12:00:00 AM,Under Audit,4220,PRJ_UND_AUD,Project Closure,16,1188569.1330,5,COVID-19,6/26/2020 9:31:49 PM
Ukraine,81,262,16141,UKR-20/UKR_CBPF/SA1/WASH/INGO/16141,,UHF COVID-19 Allocation for Non-Government Controlled Areas of Eastern Ukraine,2020,2,Standard,Première Urgence Internationale,International NGO,Support for vulnerable groups and health facilities in non-government controlled area of Donetsk Oblast in the COVID-19 response,6/1/2020 12:00:00 AM,9/30/2020 12:00:00 AM,5 Months,182929.29,135803.02,35158.93,5/17/2020 3:52:48 AM,1660,2116,0,0,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,8/1/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Under Audit,4220,PRJ_UND_AUD,Project Closure,16,1373102.4825,5,COVID-19,8/5/2020 3:18:41 PM
Ukraine,81,262,16150,UKR-20/UKR_CBPF/SA1/FSL/NGO/16150,,UHF COVID-19 Allocation for Non-Government Controlled Areas of Eastern Ukraine,2020,2,Standard,International Children’s Fund ‘Mira’,National NGO,"Targeted support with food kits and non-monetary grants for agricultural activities in NGCA territory, to vulnerable populations at risk of COVID-19.",5/23/2020 12:00:00 AM,9/22/2020 12:00:00 AM,24 Months,225403.87,196042.44,26183.6,5/16/2020 7:16:32 PM,394,482,99,120,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,10/1/2021 12:00:00 AM,9/30/2023 12:00:00 AM,Under Audit,4220,PRJ_UND_AUD,Project Closure,16,923151.0870,5,COVID-19,11/24/2021 2:05:30 PM
Ukraine,81,262,16156,UKR-20/UKR_CBPF/SA1/H-N/INGO/16156,,UHF COVID-19 Allocation for Non-Government Controlled Areas of Eastern Ukraine,2020,2,Standard,Medicos del Mundo,International NGO,Increasing capacity of the healthcare system to respond to the COVID-19 pandemic emergency in Eastern Ukraine (Luhansk NGCA),6/1/2020 12:00:00 AM,9/30/2020 12:00:00 AM,"18 Months, 18 Days",600000,478652.39,82095.27,5/17/2020 9:43:11 AM,2972,3072,128,128,,,,,,,,,,,,,,1- Unlikely to contribute to gender equality (no gender equality measure and no age consideration),,,,6/14/2020 12:00:00 AM,12/31/2021 12:00:00 AM,Under Closure,4170,PRJ_UND_CLSR,Project Closure,16,918792.0315,5,COVID-19,6/12/2020 12:47:28 PM
Ukraine,81,262,16186,UKR-20/UKR_CBPF/SA1/H-N/UN/16186,,UHF COVID-19 Allocation for Non-Government Controlled Areas of Eastern Ukraine,2020,2,Standard,United Nations Children's Fund,UN Agency,Support for health facilities to mitigate the impact of COVID-19 in Donetsk NGCA,6/1/2020 12:00:00 AM,9/30/2020 12:00:00 AM,6 Months,139996.66,130838,0,5/14/2020 10:35:26 PM,1036,5884,0,0,,,,,,,,,,,,,,1- Unlikely to contribute to gender equality (no gender equality measure and no age consideration),,,,7/1/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Under Closure,4170,PRJ_UND_CLSR,Project Closure,16,1282530.9960,5,COVID-19,6/30/2020 4:19:19 PM
Ukraine,81,272,16963,UKR-20/UKR_CBPF/SA1/WASH/INGO/16963,,2020 Supporting Access in NGCA,2020,1,Reserve,Danish Refugee Council,International NGO,Providing Non-food Assistance and Support in the field of Sanitation and Hygiene to the Most Vulnerable Households,8/1/2020 12:00:00 AM,12/31/2020 12:00:00 AM,8 Months,342094.11,271844.08,47870.04,7/21/2020 2:02:07 PM,3519,4668,315,306,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,12/1/2021 12:00:00 AM,7/31/2022 12:00:00 AM,Under Audit,4222,PRJ_UND_AUD,Project Closure,8,1303357.5945,0,,2/1/2022 12:54:50 PM
Ukraine,81,272,17140,UKR-20/UKR_CBPF/SA1/WASH/NGO/17140,,2020 Supporting Access in NGCA,2020,1,Reserve,Youth Organization MAXIMAL,National NGO,Targeted support for IDP families affected by the Covid-19 crisis and institutional support for collective IDP centers in NGCA,10/1/2020 12:00:00 AM,12/31/2020 12:00:00 AM,"5 Months, 1 Days",112842.2,105460,0,9/1/2020 10:13:20 AM,220,320,200,230,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,11/16/2020 12:00:00 AM,4/16/2021 12:00:00 AM,Under Audit,4222,PRJ_UND_AUD,Project Closure,8,932353.5375,5,COVID-19,12/7/2020 6:02:47 PM
Ukraine,81,294,17493,UKR-20/UKR_CBPF/SA1/WASH/NGO/17493,,2020 Standard Allocation,2020,2,Standard,Charity Foundation “NEW WAY”,National NGO,"Providing assistance to the most vulnerable conflict-affected population in some settlements of Donetska oblast, NGCA to address acute WASH needs during the winter.",11/15/2020 12:00:00 AM,3/14/2021 12:00:00 AM,"7 Months, 16 Days",176510.93,150624.13,17481.52,10/10/2020 9:48:13 PM,234,366,0,0,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,12/16/2020 12:00:00 AM,7/31/2021 12:00:00 AM,Under Refund,4223,PRJ_UND_REF,Project Closure,16,1925733.8520,3,N/A,1/6/2021 2:21:50 PM
Ukraine,81,294,17501,UKR-20/UKR_CBPF/SA1/S-NFI/INGO/17501,,2020 Standard Allocation,2020,2,Standard,Save the Children Fund,International NGO,Providing lifesaving assistance for the most vulnerable families in Donetsk NGCA during winter season 2020-2021,11/15/2020 12:00:00 AM,4/30/2021 12:00:00 AM,5 Months 16 Days,250000,215292.35,18352.51,10/11/2020 7:27:15 AM,371,866,466,547,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,2/1/2021 12:00:00 AM,7/16/2021 12:00:00 AM,Under Audit,4220,PRJ_UND_AUD,Project Closure,16,1409912.2845,0,,2/4/2021 9:25:04 PM
Ukraine,81,294,17513,UKR-20/UKR_CBPF/SA1/S-NFI-P-FSL-WASH-E/NGO/17513,,2020 Standard Allocation,2020,2,Standard,Charitable Organization Charitable Foundation “Development Center',National NGO,Assistance in preparing communities for winterization in the context of the COVID-19 pandemic and the transition to distance education,11/15/2020 12:00:00 AM,5/14/2021 12:00:00 AM,6 Months 1 Days,488942.81,461266.8,0,10/10/2020 3:26:58 PM,725,385,1870,1670,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,3/3/2021 12:00:00 AM,9/3/2021 12:00:00 AM,Under Audit,4220,PRJ_UND_AUD,Project Closure,16,919760.7105,3,N/A,3/5/2021 2:29:24 PM
Ukraine,81,294,17536,UKR-20/UKR_CBPF/SA1/WASH-E-H-N/UN/17536,,2020 Standard Allocation,2020,2,Standard,United Nations Children's Fund,UN Agency,"Addressing priority humanitarian needs in Donetska NGCA during the winter months through support to education, healthcare and social institutions and winterization support to vulnerable families",12/1/2020 12:00:00 AM,5/31/2021 12:00:00 AM,"9 Months, 23 Days",499864.41,467163,0,10/9/2020 2:03:00 PM,721,3879,995,1005,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,3/9/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Under Closure,4170,PRJ_UND_CLSR,Project Closure,16,1282530.9960,0,,3/25/2021 5:01:45 PM
Ukraine,81,294,17545,UKR-20/UKR_CBPF/SA1/S-NFI-P/UN/17545,,2020 Standard Allocation,2020,2,Standard,United Nations High Commissioner for Refugees,UN Agency,Response to shelter and protection needs during the winter in Donetsk and Luhansk NGCA,10/13/2020 12:00:00 AM,4/12/2021 12:00:00 AM,24 Months,500000,399894.11,69589.46,10/11/2020 4:34:41 PM,5000,6000,3000,4000,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,1/1/2021 12:00:00 AM,12/31/2022 12:00:00 AM,Project Closed,4221,PRJ_PRJ_CLS,Project Closure,16,1276718.9220,0,,1/14/2021 6:43:51 PM
Ukraine,81,294,17556,UKR-20/UKR_CBPF/SA1/H-N/UN/17556,,2020 Standard Allocation,2020,2,Standard,World Health Organization,UN Agency,Set up the second part of a new laboratory for the microbial and clinical assays testing in Luhansk NGCA,1/1/2021 12:00:00 AM,7/1/2021 12:00:00 AM,"9 Months, 1 Days",482716.57,451136.98,0,10/10/2020 2:06:26 PM,130000,190000,0,0,,,,,,,,,,,,,,"4- Likely to contribute to gender equality, including across age groups",,,,1/1/2021 12:00:00 AM,10/1/2021 12:00:00 AM,Project Closed,4221,PRJ_PRJ_CLS,Project Closure,16,1953341.2035,5,COVID-19,1/12/2021 4:49:42 PM
