PooledFundName,PooledFundId,ChfProjectCode,ExternalProjectCode,AllocationType,AllocationYear,AllocationSourceID,AllocationSourceName,OrganizationName,OrganizationType,ProjectDuration,Budget,TotalDirectCost,TotalSupportCost,DateSubmitted,GenderMarker,ActualStartDate,ActualEndDate,ProjectStatus,ProjectStatusId,ProjectStatusCode,ProcessStatus,ProcessStatusId,PartnerCode
South Sudan,19,SSD-15/SA1/N/NGO/221,,1st Round Standard Allocation,2015,2,Standard,Universal Intervention and Development Organization,National NGO,"7 Months, 30 Days",237623.76,192700,30316.2,12/2/2014 12:00:00 AM,1- The project is designed to contribute in some limited way to gender equality,1/1/2015 12:00:00 AM,8/30/2015 12:00:00 AM,TR Rejected,113,PRJ_TR_REJECTED,Technical Review,11,108622.1260
South Sudan,19,CBPF-SSD-25-S-NGO-36392,,Standard allocation 1,2025,2,Standard,Smile Again Africa Development Organization,National NGO,9 Months,360000.16,336448.75,0,6/24/2025 1:30:01 PM,"4- Likely to contribute to gender equality, including across age groups",10/1/2025 12:00:00 AM,6/30/2026 12:00:00 AM,Under TR HFU,5926,PRJ_UND_TR_HFU,Technical Review,11,106566.5520
