Year,Fund,Partner type,Direct funding,Net funding
2025,Venezuela,National NGO,7115515.63,7482002.63
2025,Venezuela,Red Cross/Red Crescent Society,0,0
2025,Venezuela,Others / Government,0,0
2025,Venezuela,Private Contractor,0,0
2025,Niger (RhPF-WCA),UN Agency,0,0
2025,Niger (RhPF-WCA),International NGO,2300000,1580689
2025,Niger (RhPF-WCA),National NGO,2698011.6,3417322.6
2025,Niger (RhPF-WCA),Red Cross/Red Crescent Society,0,0
2025,Niger (RhPF-WCA),Others / Government,0,0
2025,Niger (RhPF-WCA),Private Contractor,0,0
2025,Burkina Faso (RhPF-WCA),UN Agency,0,0
2025,Burkina Faso (RhPF-WCA),International NGO,6532198.01,5306341.01
2025,Burkina Faso (RhPF-WCA),National NGO,2465360.18,3691217.18
2025,Burkina Faso (RhPF-WCA),Red Cross/Red Crescent Society,0,0
2025,Burkina Faso (RhPF-WCA),Others / Government,0,0
2025,Burkina Faso (RhPF-WCA),Private Contractor,0,0
2025,Mali (RhPF-WCA),UN Agency,0,0
2025,Mali (RhPF-WCA),International NGO,5739279.63,4564866.63
2025,Mali (RhPF-WCA),National NGO,2273057.6,3447470.6
2025,Mali (RhPF-WCA),Red Cross/Red Crescent Society,0,0
2025,Mali (RhPF-WCA),Others / Government,0,0
2025,Mali (RhPF-WCA),Private Contractor,0,0
2025,Colombia (RhPF-LAC),UN Agency,0,0
2025,Colombia (RhPF-LAC),International NGO,0,0
2025,Colombia (RhPF-LAC),National NGO,0,0
2025,Colombia (RhPF-LAC),Red Cross/Red Crescent Society,0,0
2025,Colombia (RhPF-LAC),Others / Government,0,0
2025,Colombia (RhPF-LAC),Private Contractor,0,0
2025,Haiti (RhPF-LAC),UN Agency,0,0
2025,Haiti (RhPF-LAC),International NGO,1906091.24,1169003.24
2025,Haiti (RhPF-LAC),National NGO,256267.82,993355.8200000001
2025,Haiti (RhPF-LAC),Red Cross/Red Crescent Society,0,0
2025,Haiti (RhPF-LAC),Others / Government,0,0
2025,Haiti (RhPF-LAC),Private Contractor,0,0
2025,Mozambique (RhPF),UN Agency,115591,115591
2025,Mozambique (RhPF),International NGO,0,0
2025,Mozambique (RhPF),National NGO,2172286.25,2172286.25
2025,Mozambique (RhPF),Red Cross/Red Crescent Society,0,0
2025,Mozambique (RhPF),Others / Government,0,0
2025,Mozambique (RhPF),Private Contractor,0,0
2025,Chad (RhPF-WCA),UN Agency,0,0
2025,Chad (RhPF-WCA),International NGO,8016293.98,6719280.98
2025,Chad (RhPF-WCA),National NGO,2599997.95,3614450.95
2025,Chad (RhPF-WCA),Red Cross/Red Crescent Society,0,282560
2025,Chad (RhPF-WCA),Others / Government,0,0
2025,Chad (RhPF-WCA),Private Contractor,0,0
2025,Pakistan (AP-RHPF),UN Agency,0,0
2025,Pakistan (AP-RHPF),International NGO,120000,81884
2025,Pakistan (AP-RHPF),National NGO,1512784.64,1550900.64
2025,Pakistan (AP-RHPF),Red Cross/Red Crescent Society,0,0
2025,Pakistan (AP-RHPF),Others / Government,0,0
2025,Pakistan (AP-RHPF),Private Contractor,0,0
