PooledFundName,PooledFundId,AllocationTypeId,ChfId,ChfProjectCode,ExternalProjectCode,AllocationType,AllocationYear,AllocationSourceID,AllocationSourceName,OrganizationName,OrganizationType,ProjectTitle,ProjectStartDate,ProjectEndDate,ProjectDuration,Budget,TotalDirectCost,TotalSupportCost,DateSubmitted,Men,Women,Boys,Girls,ProjectSummary,IndirectBeneficiaries,CatchmentPopulation,AllocationStrategy,HumanitarianContext,GrantRequestJustification,DescriptionOfBeneficiaries,NeedsAssessment,Activities,ImplementationPlan,Monitoring_Eval,CrossCuttingIssues,EnvironmentMarker,GenderMarker,GenderTheme,FieldSecurity,Access,ActualStartDate,ActualEndDate,ProjectStatus,ProjectStatusId,ProjectStatusCode,ProcessStatus,ProcessStatusId,PartnerCode,AllocationTypeCategoryId,AllocationTypeCategory,ApprovedDate
Yemen,64,0,80,YEM-13/X/3420/ER/MS-SR/INGO/80,DMA-ERF-O483-0483/96,,2013,1,Reserve,Search for Common Ground,International NGO,Foots’ Journey “Enhancing migrants’ protection and integration through radio drama” ,10/31/2013 12:00:00 AM,7/28/2014 12:00:00 AM,9,249734,0,0,8/28/2013 12:00:00 AM,0,0,0,0,,,,,,,,,,,,,,,,,,10/31/2013 12:00:00 AM,7/28/2014 12:00:00 AM,Project Closure,20,,Project Closure,16,62287.8080,0,,11/18/2013 12:00:00 AM
Yemen,64,0,86,YEM-13/X/3420/ER/SNS/NGO/86,DMA-ERF-O483-0483/97,,2013,1,Reserve,Society for Humanitarian Solidarity,National NGO,"Emergency support for providing safe water for Floods affected population in of Al arqa city, Al Husun, Al Muhaiseer, Lahjan, nomads around the areas, Shabwa governorates ",10/13/2013 12:00:00 AM,1/11/2014 12:00:00 AM,3,120461.67,0,0,9/28/2013 12:00:00 AM,0,0,0,0,,,,,,,,,,,,,,,,,,10/13/2013 12:00:00 AM,1/11/2014 12:00:00 AM,Project Closure,20,,Project Closure,16,65009.1200,0,,10/30/2013 12:00:00 AM
Yemen,64,0,89,YEM-13/X/3420/ER/L/UN/89,DMA-ERF-O483-0483/98,,2013,1,Reserve,World Food Programme,UN Agency,Air Passenger Service through Logistics Cluster Coordination in Support to Humanitarian Response in Yemen,10/22/2013 12:00:00 AM,4/30/2014 12:00:00 AM,6,488300,0,0,10/2/2013 12:00:00 AM,0,0,0,0,,,,,,,,,,,,,,,,,,10/22/2013 12:00:00 AM,4/30/2014 12:00:00 AM,Project Closure,20,,Project Closure,16,75894.3680,0,,11/1/2013 12:00:00 AM
Yemen,64,0,92,YEM-13/X/3420/ER/H/INGO/92,DMA-ERF-O483-DMA-ERF-0483-0483/99,,2013,1,Reserve,ADRA YEMEN,International NGO,Al Jawf Health Nutrition Hygiene and Assistance (AHNHA),10/22/2013 12:00:00 AM,4/15/2014 12:00:00 AM,6,315564.4,0,0,10/3/2013 12:00:00 AM,0,0,0,0,,,,,,,,,,,,,,,,,,10/22/2013 12:00:00 AM,4/15/2014 12:00:00 AM,Project Closure,20,,Project Closure,16,1814.2080,0,,11/18/2013 12:00:00 AM
Yemen,64,0,103,YEM-13/X/3420/ER/P/INGO/103,DMA-ERF-O483-0483/100,,2013,1,Reserve,INTERSOS,International NGO,Protection of Refugees and Asylum Seekers,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,,41628.35,0,0,10/21/2013 12:00:00 AM,0,0,0,0,,,,,,,,,,,,,,,,,,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM,Project Closure,20,,Project Closure,16,35981.7920,0,,11/18/2013 12:00:00 AM
Yemen,64,0,114,YEM-13/X/3420/ER/H/NGO/114,DMA-ERF-O483-0483/101,,2013,1,Reserve,CSSW,National NGO,"Emergency support to basic health services integration for IDPs and host community population in Harad and Mustaba districts, Hajja Governorate",11/24/2013 12:00:00 AM,5/5/2014 12:00:00 AM,6,286741.81,0,0,10/22/2013 12:00:00 AM,0,0,0,0,,,,,,,,,,,,,,,,,,11/24/2013 12:00:00 AM,5/5/2014 12:00:00 AM,Project Closure,20,,Project Closure,16,20561.0240,0,,12/4/2013 12:00:00 AM
Yemen,64,0,123,YEM-13/X/3420/ER/H/UN/123,DMA-ERF-O483-0483/102,,2013,1,Reserve,World Health Organization,UN Agency,Reduction of child mortality through a national polio campaign in target governorates.,11/10/2013 12:00:00 AM,2/10/2014 12:00:00 AM,3,499875.11,0,0,10/28/2013 12:00:00 AM,0,0,0,0,,,,,,,,,,,,,,,,,,11/10/2013 12:00:00 AM,2/10/2014 12:00:00 AM,Project Closed,22,,Project Closure,16,76196.7360,0,,12/30/2013 12:00:00 AM
Yemen,64,0,138,YEM-13/X/3420/ER/FS/INGO/138,DMA-ERF-O483-0483/103,,2013,1,Reserve,Vision Hope Internation,International NGO,Humanitarian Aid Mukalla Refugees,12/29/2013 12:00:00 AM,4/30/2014 12:00:00 AM,4,485003,0,0,11/14/2013 12:00:00 AM,0,0,0,0,,,,,,,,,,,,,,,,,,12/29/2013 12:00:00 AM,4/30/2014 12:00:00 AM,Project Closure,20,,Project Closure,16,73173.0560,0,,1/30/2014 12:00:00 AM
Yemen,64,0,144,YEM-13/X/3420/ER/CSS/UN/144,DMA-ERF-O483-0483/106,,2013,1,Reserve,United Nations Development Programme,UN Agency,Capacity Strengthening of Governorate Based National NGOs,12/29/2013 12:00:00 AM,5/28/2014 12:00:00 AM,5,457596.2,0,0,11/21/2013 12:00:00 AM,0,0,0,0,,,,,,,,,,,,,,,,,,12/29/2013 12:00:00 AM,5/28/2014 12:00:00 AM,Project Closed,22,,Project Closure,16,70149.3760,0,,1/29/2014 12:00:00 AM
Yemen,64,0,148,YEM-13/X/3420/ER/H/NGO/148,DMA-ERF-O483-0483/104,,2013,1,Reserve,Al-Amal Community for Social Welfare,National NGO,"Lifesaving health care and increased access to water for local communities, returnees and IDPs in the areas of Al-Mashnag (Shada district), Duiab (Haydan district) and Al Shat (Sahar district) in Sada’a Governorate.",1/1/0001 12:00:00 AM,5/25/2014 12:00:00 AM,,99854,0,0,11/17/2013 12:00:00 AM,0,0,0,0,,,,,,,,,,,,,,,,,,1/1/0001 12:00:00 AM,5/25/2014 12:00:00 AM,Project Closure,20,,Project Closure,16,5140.2560,0,,2/17/2014 12:00:00 AM
