PooledFundName,PooledFundId,AllocationTypeId,AllocationYear,AllocationSourceName,ChfProjectCode,Cluster,SubCluster,Percentage,ClusterBudget
oPt,67,0,2013,Reserve,OPT-13/X/DDA-3482/ER/WASH/UN/140,"Water, Sanitation and Hygiene",,100,249843.93
oPt,67,91,2017,Reserve,OPT-17/DDA-3482/oPt/FSL/UN/4992,Food Security,,100,570886.09
oPt,67,91,2017,Reserve,OPT-17/DDA-3482/oPt/WASH/NGO/4578,"Water, Sanitation and Hygiene",,100,454268.77
oPt,67,339,2021,Reserve,OPT-21/DDA-3482/3RA/PROT/NGO/19197,Protection,,100,215904.47
oPt,67,415,2022,Standard,OPT-22/DDA-3482/SA1/PROT/NGO/22576,Protection,,100,249989.77
oPt,67,523,2023,Reserve,CBPF-OPT-23-R-UN-27348,Coordination and Support Services,,100,420454.6
oPt,67,1329,2024,Standard,CBPF-OPT-24-S-NGO-33618,Education,,100,383939.54
oPt,67,1397,2025,Reserve,CBPF-OPT-25-R-INGO-34931,Education,,100,500000
